Packet Loss Budget;Latency Budget (μs);Jitter Budget (μs);Data R date Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (μs);Slice Packet Loss;Slice Jitter (μs);Slice Type;Slice Handover
1e-06;1.0;1000.0;1000.0;no;no;3637.5709770973535;2060.716740733088;0.0005254578988856;688.0344374057853;ERLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;4368.292714164643;2291.524086835649;0.000525298779524;1018.9221126012981;ERLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;5080.278499126903;1238.9364856813422;0.0004120221525209;2480.875064869828;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;973.3820830625708;1636.6764197460757;0.0006381038685437;2259.807783021972;mURLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;5765.91939275733;1609.163862530075;0.000471908014593;1759.0063340572808;umMTC;no
1e-06;1000.0;1.0;1000.0;yes;no;7849.119329154295;2404.779710935209;0.0003367971379663;1708.7321499555778;MBRLLC;yes
1e-07;0.1;1.0;1000.0;no;no;6085.84073503426;2164.711161793948;0.0003425680194777;2473.781334825337;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;4649.418566979197;1361.1425243737376;0.0004932715146222;744.5792876759865;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;3193.028961397724;938.2678363371864;0.0003424509687296;3254.155468960668;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;1979.098444124269;2237.081677303322;0.0009532863808852;2614.6197799156594;umMTC;no
1e-05;1000.0;1.0;1000.0;no;yes;2262.401129411924;1291.1907780256738;0.0005812519420731;1733.719732449645;mURLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;4782.45534830104;1163.1792402335318;0.0004177143244917;2254.5873296642094;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;8511.66554574904;3397.6509542843455;0.0005306787341163;2919.9264035400147;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;yes;472.49719451276087;3539.7892190955445;0.0006226345627193;1301.7103301701677;mURLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;6167.413112410232;1700.6392804942336;0.0005362986441045;2856.010201713954;ERLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;3871.0872652588287;784.3878521993512;0.0003399508696977;1990.373587188912;ERLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;4441.397650779266;2807.2390378330074;0.0004816834920221;2454.393849670466;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;3437.8248055744034;2224.0681789903115;0.0004600620386302;2584.4866809918017;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;2721.663253987074;2513.345067794017;0.000424230364603;2111.02179128014;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;5209.874458247423;1576.831611551074;0.0003618950000917;2728.858768758208;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;5438.462010201703;1307.802011802842;0.0006459199296886;1717.2876412012151;umMTC;no
0.0;1000.0;1.0;1000.0;no;yes;6114.288707855698;1840.380379263892;0.0005785093784751;1984.442572026695;umMTC;no
1e-05;1000.0;1.0;1000.0;no;yes;2192.0413637707006;2116.1928803597884;0.0005772007458398;1485.9717623759357;mURLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;6456.974893741233;1512.3679101430475;0.0001912698524344;1539.4261745540389;ERLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;6486.697289166264;2864.433680861684;0.0004335334989952;2127.3760329120405;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;5707.918728438048;841.7289625091366;0.0007083082158835;2566.4415806025213;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;4298.96746515541;2272.839334041932;0.0005655165702898;1141.969531606543;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;5514.500040170376;2084.1756332809186;0.0003060548266613;2261.730475704244;umMTC;no
1e-07;0.1;1.0;1000.0;no;no;4733.111646825598;2812.5475317124797;0.0007778206261082;2782.221606875759;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;6614.532463920013;1360.4849781391229;9.593840211744092e-05;2879.5392233900952;feMBB;yes
1e-09;1000.0;1.0;1000.0;yes;no;4389.653927505016;2470.5530612450043;0.0005212585875963;1923.3676224576077;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;5180.522712722768;2318.070972872463;0.0007859542588424;1297.8913025943737;mURLLC;yes
1e-07;0.1;1.0;1000.0;no;no;2103.586378715594;2162.760306554157;0.0002386515985432;2446.1590017295675;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;5509.282098685504;1408.956158755844;0.0004206022654918;2295.9626258371472;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;3751.367507567256;1484.5912042632917;0.0002656671924358;1999.1720710719624;ERLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;5854.5249512313885;1802.4592117043524;0.0007352660940505;1809.4520767080892;MBRLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;6314.410087930515;1664.894596647045;0.0003634780878536;2224.446497120327;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;3983.980091999262;2840.0753211497668;0.000665699667334;2280.394622808533;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;no;5052.47530606245;2090.3723234336567;0.0007314800178133;1726.5910866508707;feMBB;yes
1e-09;1000.0;1.0;1000.0;yes;no;5291.295769770204;2529.8404065290924;0.0002858224497564;1854.6922136181072;MBRLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;5613.878209266879;1032.556204328335;0.0002507345382496;1073.2357976532292;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;6316.7980664355855;772.0198358959025;0.0005798609880332;2205.4344544421406;umMTC;no
1e-09;1000.0;1.0;1000.0;yes;no;6098.742125409711;1881.4586730372307;0.0006292690498451;2276.4142192090176;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;4367.412802970986;1147.8391779875913;0.0004882491125115;1180.368431919061;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;7664.103494935314;2026.5866704513123;0.0005042641272175;1929.1862243572045;ERLLC;yes
1e-07;0.1;1.0;1000.0;no;no;6253.687128955315;1437.9305733628194;0.00074664026823;1650.862290624217;ERLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;7342.173129688002;2204.12420370604;0.0004600065460644;2760.720529229133;MBRLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;5578.286754499303;1478.1088110200428;0.0007294028164658;1155.0908711724378;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;5676.774791221688;2374.0357421702465;0.0004039466235737;2746.472174912727;mURLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;4805.201112834328;1412.667437946044;0.0008995942905388;2847.9130953283643;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;4260.949831683581;757.132155409185;0.0003525236246579;381.40293209735466;umMTC;no
1e-06;1000.0;1.0;1000.0;yes;no;6625.901078810431;2568.469033301384;0.0006973549124933;2428.079940866797;MBRLLC;yes
1e-07;0.1;1.0;1000.0;no;no;5441.44027586493;1487.5150464478465;0.0003389233687288;2337.7734288846777;ERLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;4781.248851451927;2915.002494924833;0.0006310989948881;984.8162212532472;MBRLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;3296.295461045308;1572.3309959339365;0.0004987204803352;1785.3223329008965;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;7592.100043590581;1451.561343262407;0.0005463158497521;1709.8956271340996;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;5188.190286815178;1810.65000699021;0.0006109566611915;1369.0637689201255;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;no;2956.1668250652847;1626.4101569242453;0.0005409951781086;1575.3575979574102;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;5136.190539296568;2084.1125685899797;0.0005263045722985;2566.991254314135;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;4665.666090405363;2268.395100484552;0.0001903288322473;2056.2179139738655;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;4597.29632415811;2369.5201689792193;0.0007297631528653;1604.2505631312592;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;5960.83695998528;1942.8491757079823;0.000754833502194;1234.607909228255;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;4667.967387536512;999.4930929485778;0.0004822407205156;2560.4922515621083;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;yes;4491.38582970786;3148.959866610147;0.0005928343941901;3129.0034359879055;mURLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;7270.947494108608;1753.7865066419265;0.0007276499156773;1854.125384851529;feMBB;yes
1e-06;1000.0;1.0;1000.0;yes;no;2101.511635725908;1719.011930453435;0.0006002118887154;1938.9693425794517;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;4914.871383894188;1940.7477390010447;0.000411404487207;3702.1432131177617;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;no;6548.431625787913;1825.7931670464513;0.0002998207828329;2559.2078928108845;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;no;6045.282926079296;833.9655493320657;0.0006057434008576;2735.1929093609833;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;no;6700.410980695484;2383.310534284662;0.0005231865116181;1617.489005645498;feMBB;yes
1e-07;0.1;1.0;1000.0;no;no;8369.449537826691;1453.0529802763028;0.000499097381383;1435.8520471808808;ERLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;7831.803081196004;1784.121878953086;0.0003730408545608;2857.8336124572825;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;3074.801399314189;3172.893230151297;0.0004431755061951;2304.769046031058;mURLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;2316.262757056857;2629.6587304836457;0.0005561229515959;2127.837792827252;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;no;5545.199535763076;3074.7991095724647;0.000450935707671;2278.695982203467;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;2743.8628836842254;1548.6588004104963;0.0005054612410508;3149.886294299576;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;1790.038877894905;2486.6910539851683;0.0004948219580263;1510.3671562682107;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;yes;5527.518722626333;2268.842101236703;0.0006095537646145;2105.65239367818;mURLLC;yes
1e-07;0.1;1.0;1000.0;no;no;5945.481034921142;1963.5849532873067;0.0002606021968165;1545.2026875694644;ERLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;7852.1158858074305;1499.6027169243046;0.0004406637116735;2185.3654214569697;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;6281.090378139041;2723.0698935370297;0.0003163568886615;2534.1477745505367;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;8199.44688326841;1657.2585702564184;0.0005259194909889;2210.366770841944;ERLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;5593.031049862408;2090.8557946554624;0.0003649952208253;3155.4015683762796;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;3106.9056472408506;2608.7426603397134;0.0006565807340394;1656.6464115659371;feMBB;yes
1e-07;0.1;1.0;1000.0;no;no;6370.674729110011;1348.849145467132;0.0004314706501163;2364.552068199736;ERLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;7224.132780349781;1274.244144206049;0.0004039680314915;2851.811689687642;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;5652.242149119635;3677.4037054531927;0.0003611175804826;1747.9317500099678;mURLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;7417.8423505153405;1426.626478104978;0.0005418356103839;1688.463058269511;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;4795.10268672521;3077.823808199566;0.0002884415639596;1898.2006060809333;feMBB;yes
1e-07;0.1;1.0;1000.0;no;no;5910.240878672687;1964.664946365313;0.0004844829516483;1035.692287490118;ERLLC;yes
1e-07;0.1;1.0;1000.0;no;no;4709.975586443775;1716.0836553580498;0.0004806062334439;2757.297593393368;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;8965.176145063273;1782.2351150135362;0.0004129868124006;2107.345195284528;feMBB;yes
1e-09;1000.0;1.0;1000.0;yes;no;6402.460933764299;1958.5225756124169;0.0005364932073618;874.2503259855248;MBRLLC;yes
1e-07;0.1;1.0;1000.0;no;no;3139.510899436464;2891.942338732078;0.0004228345942201;1715.7359755917569;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;8087.853681212954;2504.0675321080957;0.000547423329775;2874.404504665711;umMTC;no
0.0;1000.0;1.0;1000.0;no;yes;3778.655932697413;1858.924394190851;0.0004091778200224;1781.1427205361379;umMTC;no
0.0;1000.0;1.0;1000.0;no;yes;5023.324316617638;756.114891582064;0.0003760315568943;3045.982583393364;umMTC;no
0.0;1000.0;1.0;1000.0;no;yes;5780.923276243463;2013.745820011943;0.0005426373283059;1818.0624322698657;umMTC;no
0.0;1000.0;1.0;1000.0;no;yes;5917.061626076949;2088.5577731110043;0.000634518285094;1034.4817260156656;umMTC;no
0.0;1000.0;1.0;1000.0;no;yes;5806.623085443415;2839.0115352536004;0.0009761160223516;587.2021290281419;umMTC;no
0.0;1000.0;1.0;1000.0;no;yes;3112.2796653518003;1019.9165831197156;0.000443290602196;3399.3361314685353;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;5812.143219497657;1670.9914962236319;0.000628722263132;1452.609159070802;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;6834.726454236648;1649.954372635465;0.0004259141899081;1607.705199322582;umMTC;no
1e-09;1000.0;1.0;1000.0;yes;no;6786.761405985264;1962.748006320203;0.0006260573330802;1924.564581411156;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;2831.0293130121795;2060.6964652917395;0.0007170192562305;2166.489194212647;feMBB;yes
1e-06;1000.0;1.0;1000.0;yes;no;3907.8544730118674;2292.2733506246104;0.0005214519665585;1338.9780723212846;MBRLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;3259.804676606233;736.7613141400351;0.0006185715752548;2852.1608246135884;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;5566.798351168749;2115.3190135169707;0.0005741560725673;2205.00432552344;feMBB;yes
1e-06;1000.0;1.0;1000.0;yes;no;2414.67897055114;2163.767210467868;0.0005018515281457;2818.0084269633267;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;3129.449169992933;2050.101304946809;0.0004288363651315;677.4864779462528;feMBB;yes
1e-09;1000.0;1.0;1000.0;yes;no;3892.052539746224;1881.5897244204668;0.0004415663560225;2325.275763297609;MBRLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;2006.1492779675011;0.001;0.0002795506131559;2268.462090245719;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;4954.172793418815;2378.7634537582144;0.0006729397675725;1980.6265740653494;feMBB;yes
1e-06;1.0;1000.0;1000.0;no;no;1490.025684193009;1351.1972583471215;0.000811891081412;1650.9188813101523;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;5809.327058444297;2409.1407263313245;0.0002650307408313;1007.719052474072;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;4338.863439158322;2833.430169495943;0.0006730087337362;1087.9695602908184;ERLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;3960.6319851404687;882.5986767421421;0.0004925927557003;2866.00212577511;MBRLLC;yes
