Packet Loss Budget,Latency Budget (μs),Jitter Budget (μs),Data Rate Budget (Gbps),Required Mobility,Required Connectivity,Slice Available Transfer Rate (Gbps),Slice Latency (μs),Slice Packet Loss,Slice Jitter (μs),Slice Type,Slice Handover,Latency_Gap,Packet_Loss_Gap,Jitter_Gap,SLA_Respected
1e-05,1000.0,1.0,1000.0,0,1,4404.027107266922,2114.7453691343285,0.0004982355168568,2189.105319970382,3,1,-1114.7453691343285,-0.0004882355168567,-2188.105319970382,0
1e-05,1000.0,1.0,1000.0,0,0,6269.742392398339,2299.5537803493567,0.0005931054868416,1902.6516045369044,2,1,-1299.5537803493569,-0.0005831054868416,-1901.6516045369044,0
1e-07,0.1,1.0,1000.0,0,0,1020.9911062275818,0.0529921124717761,1.5441126307503492e-08,0.8328389490689131,0,1,0.0470078875282238,8.45588736924965e-08,0.1671610509310869,1
1e-09,1000.0,1.0,1000.0,1,0,2614.6404164905566,2203.932432935249,0.0005319381894009,3111.020908787864,1,1,-1203.932432935249,-0.0005319371894009,-3110.020908787864,0
1e-05,1000.0,1.0,1000.0,0,0,5518.020875954908,2182.304631621586,0.000535643050488,2541.149091649157,2,1,-1182.304631621586,-0.000525643050488,-2540.149091649157,0
0.0,1000.0,1.0,1000.0,0,1,6901.1332215167085,2143.9532313577915,0.0003365906513519,2290.3852099876126,4,0,-1143.9532313577915,-0.0003365906513519,-2289.3852099876126,0
1e-06,1.0,1000.0,1000.0,0,0,3939.201290168592,2111.3369883175847,0.000423195561748,2294.9201417765703,0,1,-2110.3369883175847,-0.000422195561748,-1294.9201417765703,0
0.0,1000.0,1.0,1000.0,0,1,5856.369951115048,2064.185400220124,0.0002170986429763,2088.566656585254,4,0,-1064.185400220124,-0.0002170986429763,-2087.566656585254,0
1e-09,1000.0,1.0,1000.0,1,0,1014.39735006385,850.051029270603,1.5612750053337266e-10,0.3049407469689334,1,1,149.94897072939705,8.438724994666273e-10,0.6950592530310666,1
0.0,1000.0,1.0,1000.0,0,1,5643.197312569444,1519.3046157609965,0.0004940126287734,1645.2887911726068,4,0,-519.3046157609965,-0.0004940126287734,-1644.2887911726068,0
1e-05,1000.0,1.0,1000.0,0,1,1176.5606596936657,790.3189911357715,8.689660567511161e-06,0.4948290988717683,3,1,209.6810088642285,1.3103394324888395e-06,0.5051709011282317,1
0.0,1000.0,1.0,1000.0,0,1,6102.301401883116,2726.9662521191863,0.0003330870143093,1661.3339768373412,4,0,-1726.9662521191865,-0.0003330870143093,-1660.3339768373412,0
1e-06,1.0,1000.0,1000.0,0,0,5998.976953800027,1718.091085699444,0.0004866941425054,1097.6342190961432,0,1,-1717.091085699444,-0.0004856941425053,-97.63421909614316,0
1e-05,1000.0,1.0,1000.0,0,1,2744.9195646830044,1362.3175446661485,0.0005270276522962,1865.9378316580887,3,1,-362.3175446661485,-0.0005170276522962,-1864.9378316580887,0
1e-09,1000.0,1.0,1000.0,1,0,1147.8881174367511,834.8506898262798,5.379231123202811e-10,0.1331897760078479,1,1,165.1493101737202,4.62076887679719e-10,0.8668102239921521,1
1e-06,1.0,1000.0,1000.0,0,0,7421.780588182407,2181.890828423454,0.0005447461508544,3268.339575816185,0,1,-2180.890828423454,-0.0005437461508543,-2268.339575816185,0
1e-05,1000.0,1.0,1000.0,0,0,1358.6828484995808,1918.62083202208,0.0004478557538451,1622.3640737857536,2,1,-918.62083202208,-0.000437855753845,-1621.3640737857536,0
0.0,1000.0,1.0,1000.0,0,1,6611.882368751132,2574.5695964271704,0.0004763714183982,1981.1103677372373,4,0,-1574.5695964271704,-0.0004763714183982,-1980.1103677372373,0
1e-09,1000.0,1.0,1000.0,1,0,1068.7152294005157,854.8885928555156,1.738801573077297e-10,0.3346728692224627,1,1,145.11140714448436,8.261198426922703e-10,0.6653271307775372,1
1e-05,1000.0,1.0,1000.0,0,0,2526.354905112078,2773.973382998885,0.0004292529260263,3642.3390977700087,2,1,-1773.973382998885,-0.0004192529260262,-3641.3390977700087,0
1e-09,1000.0,1.0,1000.0,1,0,1497.3564586163202,899.514783195417,1.6666183811188136e-10,0.5403226696080389,1,1,100.48521680458305,8.333381618881188e-10,0.4596773303919611,1
1e-05,1000.0,1.0,1000.0,0,1,5863.319246030561,1449.846514330834,0.0004369462658404,1470.0552908864147,3,1,-449.846514330834,-0.0004269462658404,-1469.0552908864147,0
1e-05,1000.0,1.0,1000.0,0,0,3523.772494496568,1306.06990833466,0.0005644787125436,2430.193219062616,2,1,-306.0699083346601,-0.0005544787125435,-2429.193219062616,0
0.0,1000.0,1.0,1000.0,0,1,1472.6654449441892,537.7248021271612,0.0,0.3523893972504123,4,0,462.2751978728388,0.0,0.6476106027495877,1
1e-06,1.0,1000.0,1000.0,0,0,6765.150626882492,2204.0535400072927,0.000655344295865,1907.0939101498816,0,1,-2203.0535400072927,-0.000654344295865,-907.0939101498816,0
1e-06,1000.0,1.0,1000.0,1,0,2692.458761301393,2452.282974353549,0.000358659914766,2127.751094343272,1,1,-1452.282974353549,-0.0003576599147659,-2126.751094343272,0
0.0,1000.0,1.0,1000.0,0,1,3762.193676464967,1945.637766660845,0.0008208365483982,2293.3113078896786,4,0,-945.637766660845,-0.0008208365483982,-2292.3113078896786,0
1e-05,1000.0,1.0,1000.0,0,0,1252.3122390876842,785.9477074902171,4.849025195095743e-06,0.1559516490897696,2,1,214.0522925097829,5.150974804904258e-06,0.8440483509102303,1
0.0,1000.0,1.0,1000.0,0,1,6218.143894678422,666.3402583649936,0.0004621491458816,1107.1771877244596,4,0,333.6597416350064,-0.0004621491458816,-1106.1771877244596,0
1e-05,1000.0,1.0,1000.0,0,0,1442.726074944412,520.5870811937291,3.675592587571197e-06,0.7310137143559605,2,1,479.4129188062709,6.324407412428803e-06,0.2689862856440395,1
1e-06,1000.0,1.0,1000.0,1,0,3534.1763046184387,2481.7235869246683,0.0002222406182323,1854.8937189235307,1,1,-1481.7235869246683,-0.0002212406182323,-1853.8937189235307,0
0.0,1000.0,1.0,1000.0,0,1,7432.286529480073,2713.9161698705475,0.0005217500736146,2597.6848009315945,4,0,-1713.9161698705475,-0.0005217500736146,-2596.6848009315945,0
1e-05,1000.0,1.0,1000.0,0,0,3477.462411051511,1911.7010639482955,0.000451994577682,2101.243217232937,2,1,-911.7010639482957,-0.0004419945776819,-2100.243217232937,0
1e-07,0.1,1.0,1000.0,0,0,5834.28483393771,2445.4371351810846,0.0002674867709984,2014.877554235222,0,1,-2445.3371351810847,-0.0002673867709984,-2013.877554235222,0
1e-07,0.1,1.0,1000.0,0,0,6487.5886788588805,1573.6367663595036,0.0002699588531915,2129.952618192558,0,1,-1573.5367663595036,-0.0002698588531914,-2128.952618192558,0
0.0,1000.0,1.0,1000.0,0,1,11.165495238089534,2320.395601496415,0.0006870287578937,1471.484910818705,4,0,-1320.395601496415,-0.0006870287578937,-1470.484910818705,0
1e-07,0.1,1.0,1000.0,0,0,6519.0252957549565,1680.2152858376032,0.0005860150163293,3069.67809892614,0,1,-1680.115285837603,-0.0005859150163293,-3068.67809892614,0
1e-05,1000.0,1.0,1000.0,0,0,7307.885390133802,1457.1656649883637,0.0006580561782844,2375.199359338929,2,1,-457.1656649883637,-0.0006480561782844,-2374.199359338929,0
1e-05,1000.0,1.0,1000.0,0,0,6826.786942163992,2154.66527860312,0.0003266980113682,2256.075903205493,2,1,-1154.66527860312,-0.0003166980113681,-2255.075903205493,0
0.0,1000.0,1.0,1000.0,0,1,1267.7787388880638,535.8029777738835,0.0,0.8435922102543135,4,0,464.1970222261165,0.0,0.1564077897456864,1
1e-06,1000.0,1.0,1000.0,1,0,6608.967942962567,2607.741323399938,0.0008762534738541,1076.945687668189,1,1,-1607.7413233999382,-0.000875253473854,-1075.945687668189,0
1e-06,1.0,1000.0,1000.0,0,0,4105.247698596035,1143.6238914468352,0.0004604866145186,2453.6130332890434,0,1,-1142.6238914468352,-0.0004594866145185,-1453.6130332890434,0
1e-09,1000.0,1.0,1000.0,1,0,7065.31205550306,2618.0770511513606,0.0005083975858583,2492.277115516252,1,1,-1618.0770511513606,-0.0005083965858583,-2491.277115516252,0
1e-06,1000.0,1.0,1000.0,1,0,4010.6551934544,2086.595258546697,0.0005018534120817,2396.440061080501,1,1,-1086.595258546697,-0.0005008534120816,-2395.440061080501,0
1e-05,1000.0,1.0,1000.0,0,1,5137.849471922473,2711.9731398308013,0.000481776440976,2060.977426173168,3,1,-1711.9731398308013,-0.000471776440976,-2059.977426173168,0
1e-05,1000.0,1.0,1000.0,0,0,6386.66682512316,2705.0905370551804,0.0003700968526646,1851.5782372222304,2,1,-1705.0905370551804,-0.0003600968526645,-1850.5782372222304,0
1e-05,1000.0,1.0,1000.0,0,1,1459.857268651439,901.8013276596762,8.32696925043989e-06,0.756413818124815,3,1,98.1986723403238,1.6730307495601102e-06,0.243586181875185,1
1e-06,1000.0,1.0,1000.0,1,0,7252.161464418297,2699.089092167234,0.0007712855310221,2314.749535390816,1,1,-1699.089092167234,-0.0007702855310221,-2313.749535390816,0
1e-09,1000.0,1.0,1000.0,1,0,1038.5196427245692,566.3762911515857,5.91535818157598e-10,0.3629427281626035,1,1,433.6237088484143,4.084641818424021e-10,0.6370572718373965,1
1e-09,1000.0,1.0,1000.0,1,0,3105.0829907379925,1161.1246863989136,0.000703506195909,1024.0445119798312,1,1,-161.12468639891358,-0.000703505195909,-1023.0445119798312,0
1e-05,1000.0,1.0,1000.0,0,0,4453.327858003656,958.7478028983328,0.0009760312384358,777.9284109469896,2,1,41.25219710166721,-0.0009660312384358,-776.9284109469896,0
1e-09,1000.0,1.0,1000.0,1,0,5527.744541210089,2516.4830008630724,0.0003643966978357,3549.809571595634,1,1,-1516.4830008630724,-0.0003643956978357,-3548.809571595634,0
1e-06,1.0,1000.0,1000.0,0,0,4228.592292979316,2075.741306214759,0.0005900459676407,2551.8473632419045,0,1,-2074.741306214759,-0.0005890459676406,-1551.8473632419043,0
1e-09,1000.0,1.0,1000.0,1,0,1254.2408119222046,613.3440220415239,2.7613515523327565e-10,0.1157970905305964,1,1,386.6559779584761,7.238648447667242e-10,0.8842029094694036,1
1e-06,1000.0,1.0,1000.0,1,0,6293.403373857402,2959.1889200316687,0.0004765559553434,920.66994636251,1,1,-1959.1889200316689,-0.0004755559553434,-919.66994636251,0
1e-05,1000.0,1.0,1000.0,0,0,6071.906734222717,2201.694105613031,0.0009158368267854,2662.00559046807,2,1,-1201.6941056130308,-0.0009058368267853,-2661.00559046807,0
1e-06,1000.0,1.0,1000.0,1,0,5412.679995054756,609.3870424082423,0.0006078259621773,1810.616264620646,1,1,390.61295759175766,-0.0006068259621772,-1809.616264620646,0
1e-06,1000.0,1.0,1000.0,1,0,1061.2998407314703,549.1782281282269,2.5676398579073266e-07,0.3056848524797388,1,1,450.8217718717731,7.432360142092672e-07,0.6943151475202611,1
0.0,1000.0,1.0,1000.0,0,1,4627.420420866389,2694.89214954547,0.0003028774415673,2360.23750615123,4,0,-1694.89214954547,-0.0003028774415673,-2359.23750615123,0
1e-05,1000.0,1.0,1000.0,0,0,1177.4974941697665,835.4018540678987,3.854091087244269e-06,0.8495525417891451,2,1,164.59814593210126,6.145908912755732e-06,0.1504474582108549,1
1e-06,1000.0,1.0,1000.0,1,0,7772.537496182231,1520.1782646274962,0.0003607517378539,2116.073490794989,1,1,-520.1782646274962,-0.0003597517378539,-2115.073490794989,0
0.0,1000.0,1.0,1000.0,0,1,6698.353537013516,2301.657239427105,0.0003283736518724,1412.2433297528576,4,0,-1301.6572394271052,-0.0003283736518724,-1411.2433297528576,0
0.0,1000.0,1.0,1000.0,0,1,1038.878323886664,678.9334607722868,0.0,0.2217551658012936,4,0,321.0665392277132,0.0,0.7782448341987064,1
1e-05,1000.0,1.0,1000.0,0,0,4563.526318347553,1168.602018962771,0.0006149667132042,1405.8604816720383,2,1,-168.6020189627709,-0.0006049667132042,-1404.8604816720383,0
1e-05,1000.0,1.0,1000.0,0,1,5333.243321961512,2677.8078122187985,0.0004725285934709,1449.7306818812642,3,1,-1677.8078122187983,-0.0004625285934709,-1448.7306818812642,0
1e-06,1.0,1000.0,1000.0,0,0,3432.832569217596,2778.3544488657835,0.0004089302744128,2069.15091074564,0,1,-2777.3544488657835,-0.0004079302744127,-1069.15091074564,0
1e-09,1000.0,1.0,1000.0,1,0,1110.4658356333518,926.8634414637762,2.2770235594687638e-10,0.3026241946768198,1,1,73.13655853622379,7.722976440531236e-10,0.6973758053231802,1
1e-06,1.0,1000.0,1000.0,0,0,1103.262968896674,0.5882105779019547,1.3454688375648366e-07,102.32827801141936,0,1,0.4117894220980452,8.654531162435162e-07,897.6717219885807,1
1e-09,1000.0,1.0,1000.0,1,0,1453.9881324170285,612.2924452810715,5.032627861044811e-10,0.7379321144515382,1,1,387.70755471892846,4.96737213895519e-10,0.2620678855484618,1
1e-06,1000.0,1.0,1000.0,1,0,4170.09898227556,3210.6921082356826,0.0005182263118669,1716.3770394615992,1,1,-2210.6921082356826,-0.0005172263118669,-1715.3770394615992,0
1e-05,1000.0,1.0,1000.0,0,0,1427.6412318417736,871.9216730048673,4.088130035702265e-06,0.7396405733389404,2,1,128.07832699513267,5.911869964297736e-06,0.2603594266610596,1
1e-05,1000.0,1.0,1000.0,0,0,1300.713430275086,631.9248887024684,1.951616032068084e-06,0.230188543680696,2,1,368.0751112975316,8.048383967931917e-06,0.7698114563193039,1
1e-06,1.0,1000.0,1000.0,0,0,1371.200570018824,0.7160988162667136,1.2947378900709738e-07,506.0184859922763,0,1,0.2839011837332864,8.705262109929026e-07,493.9815140077237,1
1e-06,1.0,1000.0,1000.0,0,0,4368.292714164643,2291.524086835649,0.000525298779524,1018.922112601298,0,1,-2290.524086835649,-0.000524298779524,-18.922112601297957,0
1e-06,1000.0,1.0,1000.0,1,0,1387.756401387506,787.2248302920593,8.962968911027621e-07,0.5245591732319338,1,1,212.77516970794068,1.037031088972379e-07,0.4754408267680662,1
1e-05,1000.0,1.0,1000.0,0,1,973.3820830625708,1636.6764197460757,0.0006381038685437,2259.807783021972,3,1,-636.6764197460757,-0.0006281038685436,-2258.807783021972,0
0.0,1000.0,1.0,1000.0,0,1,5765.91939275733,1609.163862530075,0.000471908014593,1759.0063340572808,4,0,-609.163862530075,-0.000471908014593,-1758.0063340572808,0
1e-06,1000.0,1.0,1000.0,1,0,7849.119329154295,2404.779710935209,0.0003367971379663,1708.7321499555778,1,1,-1404.779710935209,-0.0003357971379663,-1707.7321499555778,0
1e-07,0.1,1.0,1000.0,0,0,6085.84073503426,2164.711161793948,0.0003425680194777,2473.781334825337,0,1,-2164.611161793948,-0.0003424680194777,-2472.781334825337,0
0.0,1000.0,1.0,1000.0,0,1,4649.418566979197,1361.1425243737376,0.0004932715146222,744.5792876759865,4,0,-361.1425243737376,-0.0004932715146222,-743.5792876759865,0
1e-05,1000.0,1.0,1000.0,0,0,3193.028961397724,938.2678363371864,0.0003424509687296,3254.155468960668,2,1,61.732163662813605,-0.0003324509687296,-3253.155468960668,0
0.0,1000.0,1.0,1000.0,0,1,1979.098444124269,2237.081677303322,0.0009532863808852,2614.61977991566,4,0,-1237.081677303322,-0.0009532863808852,-2613.61977991566,0
1e-05,1000.0,1.0,1000.0,0,1,2262.401129411924,1291.1907780256738,0.0005812519420731,1733.719732449645,3,1,-291.1907780256738,-0.0005712519420731,-1732.719732449645,0
0.0,1000.0,1.0,1000.0,0,1,4782.45534830104,1163.1792402335318,0.0004177143244917,2254.5873296642094,4,0,-163.1792402335318,-0.0004177143244917,-2253.5873296642094,0
1e-05,1000.0,1.0,1000.0,0,0,1255.4800724879767,513.3945318071587,4.904610215977389e-06,0.6836185628826311,2,1,486.6054681928413,5.095389784022612e-06,0.3163814371173689,1
1e-05,1000.0,1.0,1000.0,0,1,1179.3181949617633,781.0341550340969,6.078335005641677e-06,0.2478926541234838,3,1,218.9658449659031,3.921664994358324e-06,0.7521073458765162,1
1e-06,1.0,1000.0,1000.0,0,0,6167.413112410232,1700.6392804942336,0.0005362986441045,2856.010201713954,0,1,-1699.6392804942336,-0.0005352986441045,-1856.0102017139536,0
1e-06,1.0,1000.0,1000.0,0,0,3871.0872652588287,784.3878521993512,0.0003399508696977,1990.373587188912,0,1,-783.3878521993512,-0.0003389508696976,-990.373587188912,0
1e-09,1000.0,1.0,1000.0,1,0,4441.397650779266,2807.2390378330074,0.0004816834920221,2454.393849670466,1,1,-1807.2390378330076,-0.000481682492022,-2453.393849670466,0
0.0,1000.0,1.0,1000.0,0,1,3437.8248055744034,2224.0681789903115,0.0004600620386302,2584.4866809918017,4,0,-1224.0681789903117,-0.0004600620386302,-2583.4866809918017,0
1e-06,1.0,1000.0,1000.0,0,0,2721.663253987074,2513.345067794017,0.000424230364603,2111.02179128014,0,1,-2512.345067794017,-0.000423230364603,-1111.02179128014,0
1e-05,1000.0,1.0,1000.0,0,0,5209.874458247423,1576.831611551074,0.0003618950000917,2728.858768758208,2,1,-576.831611551074,-0.0003518950000917,-2727.858768758208,0
0.0,1000.0,1.0,1000.0,0,1,5438.462010201703,1307.802011802842,0.0006459199296886,1717.2876412012151,4,0,-307.8020118028419,-0.0006459199296886,-1716.2876412012151,0
0.0,1000.0,1.0,1000.0,0,1,6114.288707855698,1840.380379263892,0.0005785093784751,1984.442572026695,4,0,-840.3803792638921,-0.0005785093784751,-1983.442572026695,0
1e-05,1000.0,1.0,1000.0,0,1,1083.1968004801363,721.8308716339359,4.938492397156314e-06,0.1375752920404775,3,1,278.1691283660641,5.061507602843687e-06,0.8624247079595224,1
1e-06,1.0,1000.0,1000.0,0,0,1002.7724162308516,0.5626665233375086,7.182634674821594e-07,691.9191533157209,0,1,0.4373334766624914,2.8173653251784053e-07,308.0808466842791,1
1e-06,1.0,1000.0,1000.0,0,0,6486.697289166264,2864.433680861684,0.0004335334989952,2127.3760329120405,0,1,-2863.433680861684,-0.0004325334989951,-1127.3760329120405,0
0.0,1000.0,1.0,1000.0,0,1,5707.918728438048,841.7289625091366,0.0007083082158835,2566.4415806025213,4,0,158.27103749086336,-0.0007083082158835,-2565.4415806025213,0
1e-06,1.0,1000.0,1000.0,0,0,4298.96746515541,2272.839334041932,0.0005655165702898,1141.969531606543,0,1,-2271.839334041932,-0.0005645165702898,-141.9695316065429,0
0.0,1000.0,1.0,1000.0,0,1,5514.500040170376,2084.175633280918,0.0003060548266613,2261.730475704244,4,0,-1084.1756332809182,-0.0003060548266613,-2260.730475704244,0
1e-07,0.1,1.0,1000.0,0,0,1164.576923216572,0.0923286581144408,7.304956545457478e-08,0.2608865874872638,0,1,0.0076713418855591,2.6950434545425213e-08,0.7391134125127362,1
1e-05,1000.0,1.0,1000.0,0,0,6614.532463920013,1360.4849781391229,9.593840211744092e-05,2879.5392233900952,2,1,-360.48497813912286,-8.593840211744092e-05,-2878.5392233900952,0
1e-09,1000.0,1.0,1000.0,1,0,1360.766727673688,617.5048763538589,2.2758499816803888e-10,0.213702393991417,1,1,382.4951236461411,7.724150018319611e-10,0.786297606008583,1
1e-05,1000.0,1.0,1000.0,0,1,5180.522712722768,2318.070972872463,0.0007859542588424,1297.8913025943737,3,1,-1318.0709728724628,-0.0007759542588424,-1296.8913025943737,0
1e-07,0.1,1.0,1000.0,0,0,2103.586378715594,2162.760306554157,0.0002386515985432,2446.1590017295675,0,1,-2162.660306554157,-0.0002385515985432,-2445.1590017295675,0
0.0,1000.0,1.0,1000.0,0,1,5509.282098685504,1408.956158755844,0.0004206022654918,2295.9626258371472,4,0,-408.956158755844,-0.0004206022654918,-2294.9626258371472,0
1e-06,1.0,1000.0,1000.0,0,0,3751.367507567256,1484.5912042632915,0.0002656671924358,1999.1720710719624,0,1,-1483.5912042632915,-0.0002646671924358,-999.1720710719624,0
1e-09,1000.0,1.0,1000.0,1,0,5854.5249512313885,1802.4592117043524,0.0007352660940505,1809.4520767080887,1,1,-802.4592117043524,-0.0007352650940505,-1808.4520767080887,0
1e-06,1.0,1000.0,1000.0,0,0,6314.410087930515,1664.894596647045,0.0003634780878536,2224.446497120327,0,1,-1663.894596647045,-0.0003624780878536,-1224.446497120327,0
1e-05,1000.0,1.0,1000.0,0,0,3983.980091999262,2840.0753211497668,0.000665699667334,2280.394622808533,2,1,-1840.0753211497668,-0.000655699667334,-2279.394622808533,0
1e-05,1000.0,1.0,1000.0,0,0,5052.47530606245,2090.3723234336567,0.0007314800178133,1726.5910866508707,2,1,-1090.372323433657,-0.0007214800178133,-1725.5910866508707,0
1e-09,1000.0,1.0,1000.0,1,0,5291.295769770204,2529.8404065290924,0.0002858224497564,1854.6922136181072,1,1,-1529.8404065290924,-0.0002858214497564,-1853.6922136181072,0
1e-09,1000.0,1.0,1000.0,1,0,1229.2615853383704,549.9402957938371,7.303589982952852e-10,0.5203187571686901,1,1,450.0597042061629,2.6964100170471473e-10,0.4796812428313098,1
0.0,1000.0,1.0,1000.0,0,1,6316.7980664355855,772.0198358959025,0.0005798609880332,2205.4344544421406,4,0,227.98016410409755,-0.0005798609880332,-2204.4344544421406,0
1e-09,1000.0,1.0,1000.0,1,0,6098.742125409711,1881.4586730372307,0.0006292690498451,2276.4142192090176,1,1,-881.4586730372307,-0.000629268049845,-2275.4142192090176,0
0.0,1000.0,1.0,1000.0,0,1,1376.6144740412797,762.3770092319846,0.0,0.8384759462986274,4,0,237.62299076801537,0.0,0.1615240537013725,1
1e-06,1.0,1000.0,1000.0,0,0,1350.3158035042693,0.7584009567137164,7.674093677810025e-07,821.7988710102436,0,1,0.2415990432862835,2.3259063221899741e-07,178.2011289897564,1
1e-07,0.1,1.0,1000.0,0,0,1455.8023848206865,0.0595682631292978,5.057959145052659e-08,0.4578595244893095,0,1,0.0404317368707022,4.94204085494734e-08,0.5421404755106904,1
1e-06,1000.0,1.0,1000.0,1,0,1296.046708221745,754.9350004451593,1.4293671434488352e-07,0.734798199471416,1,1,245.0649995548407,8.570632856551164e-07,0.265201800528584,1
1e-09,1000.0,1.0,1000.0,1,0,5578.286754499303,1478.1088110200428,0.0007294028164658,1155.0908711724378,1,1,-478.1088110200428,-0.0007294018164658,-1154.0908711724378,0
1e-05,1000.0,1.0,1000.0,0,1,5676.774791221688,2374.0357421702465,0.0004039466235737,2746.472174912727,3,1,-1374.0357421702463,-0.0003939466235737,-2745.472174912727,0
1e-05,1000.0,1.0,1000.0,0,0,1289.284120784921,665.5263286815365,6.842022118710685e-06,0.6555445858448963,2,1,334.4736713184635,3.157977881289316e-06,0.3444554141551037,1
0.0,1000.0,1.0,1000.0,0,1,1339.3326254894484,906.0095862363646,0.0,0.2462542496022904,4,0,93.9904137636354,0.0,0.7537457503977095,1
1e-06,1000.0,1.0,1000.0,1,0,6625.901078810431,2568.469033301384,0.0006973549124933,2428.079940866797,1,1,-1568.469033301384,-0.0006963549124932,-2427.079940866797,0
1e-07,0.1,1.0,1000.0,0,0,5441.44027586493,1487.5150464478463,0.0003389233687288,2337.7734288846777,0,1,-1487.4150464478464,-0.0003388233687288,-2336.7734288846777,0
1e-06,1000.0,1.0,1000.0,1,0,1087.6684930760546,857.9921074153647,6.995566359530018e-07,0.6505633858748737,1,1,142.00789258463533,3.0044336404699814e-07,0.3494366141251263,1
1e-09,1000.0,1.0,1000.0,1,0,3296.295461045308,1572.3309959339365,0.0004987204803352,1785.3223329008963,1,1,-572.3309959339365,-0.0004987194803352,-1784.3223329008963,0
0.0,1000.0,1.0,1000.0,0,1,1358.445354352917,618.353561538383,0.0,0.8870659265746109,4,0,381.646438461617,0.0,0.112934073425389,1
1e-05,1000.0,1.0,1000.0,0,0,5188.190286815178,1810.65000699021,0.0006109566611915,1369.0637689201255,2,1,-810.6500069902099,-0.0006009566611915,-1368.0637689201255,0
1e-05,1000.0,1.0,1000.0,0,0,2956.1668250652847,1626.4101569242453,0.0005409951781086,1575.3575979574102,2,1,-626.4101569242453,-0.0005309951781086,-1574.3575979574102,0
